ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_mjj25
2025,05,49729,2,0017,1,1,202505497292001714,1,4,3,1,2,,1,16,4,4,9,4,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1221.4143490408119
2025,05,49729,2,0017,1,1,202505497292001715,1,5,3,1,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49729,2,0017,1,1,202505497292001716,1,6,3,1,2,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49729,2,0017,1,1,202505497292001717,1,7,3,1,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49729,2,0017,1,1,202505497292001718,1,8,3,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49729,2,0016,1,1,202505497292001611,1,1,1,1,2,,1,76,1,1,12,9,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1351.0728664214676
2025,05,49729,2,0016,1,1,202505497292001612,1,2,2,1,2,,2,66,2,1,18,3,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1239.6196183984466
2025,05,49668,1,0069,1,1,202405496681006911,1,1,1,1,2,,1,44,1,1,24,1,1981,1,,,,,,,,,,,,,,,,7111,4100,2,,3,2,1,1,0,8,8,8,0,8,4,36,,44,2,44,1,1,1,1,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,1,,,1000,,,,,,,1000,1000,1000,1,1030.3690015590273
2025,05,49668,1,0069,1,1,202405496681006912,1,2,2,1,2,,2,25,2,2,3,11,1999,1,,,,,,,,,,,,,,,,9112,4719,3,5,3,2,1,5,0,4,4,4,4,4,0,20,,20,1,,1,1,1,2,3,70,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,,5,2,2,2,2,2,2,10,7,1,140,,,,,,,,,140,140,140,1,1034.3989335714093
2025,05,49668,1,0069,1,1,202405496681006913,1,3,3,1,2,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49668,1,0069,1,1,202405496681006914,1,4,3,1,2,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49668,1,0055,1,1,202405496681005511,1,1,1,1,2,,2,27,1,1,20,1,1998,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,3,,,,,,,,,,,,,1,1034.3989335714093
2025,05,49668,1,0055,1,1,202405496681005512,1,2,2,1,2,,1,28,2,2,25,7,1996,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,6,6,6,6,6,6,6,42,,42,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,900,,,,,,,900,900,900,1,1030.3690015590273
2025,05,49668,1,0055,1,1,202405496681005513,1,3,3,1,2,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49668,1,0055,1,1,202405496681005514,1,4,3,1,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49668,1,0053,1,1,202405496681005311,1,1,1,1,2,,1,41,1,1,24,7,1983,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,3,0,8,8,8,8,8,0,40,,48,2,48,1,1,1,2,2,300,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1299,,,,,,,,,1299,1299,1299,1,1030.3690015590273
2025,05,49668,1,0053,1,1,202405496681005312,1,2,2,1,2,,2,58,2,2,18,3,1967,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,2,0,8,8,8,0,8,0,32,12,52,2,52,2,,2,2,4,600,,,,,,150,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,4,5,,2,2,2,2,2,2,10,7,1,600,,,,,150,,,50,750,600,800,1,862.5556360391352
2025,05,49668,1,0028,1,1,202505496681002811,1,1,1,1,2,,2,33,1,1,30,6,1991,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,8,8,8,8,0,8,8,48,,48,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,1,,,930,,,,,,,930,930,930,1,1034.3989335714093
2025,05,49668,1,0028,1,1,202505496681002812,1,2,3,1,2,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49624,1,0024,1,1,202502496241002411,1,1,1,1,2,,2,33,1,1,29,11,1991,1,,,,,,,,,,,,,,,,5212,4711,2,,2,2,1,1,12,12,12,12,12,12,12,84,,84,1,,2,,2,2,,,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,1162,433,,,,,,1595,1595,1595,1,1362.0582491335251
2025,05,49624,1,0024,1,1,202502496241002412,1,2,3,1,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49624,1,0018,1,1,202502496241001811,1,1,1,1,2,,2,28,1,1,2,11,1996,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,1,0,0,6,0,0,7,6,19,,19,1,,1,1,1,1,2,135,50,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,1,585,217,,,,,,,,802,802,802,1,1362.0582491335251
2025,05,49624,1,0018,1,1,202502496241001813,1,2,3,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49624,1,0014,1,1,202502496241001411,1,1,1,1,2,,2,51,1,1,22,10,1973,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,1,0,0,0,8,8,8,0,24,,24,1,,1,1,1,2,2,60,60,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,3,,2,2,2,2,2,2,10,7,1,260,260,,,,,,,,520,520,520,1,1135.7813521204807
2025,05,49624,1,0009,1,1,202502496241000911,1,1,1,1,2,,1,60,1,1,16,8,1964,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,2,0,9,9,9,9,9,6,51,,51,1,,2,,2,2,2,450,,,,,,,,,,,,,,,1,1,1,5,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1949,,,,,,,,,1949,1949,1949,1,1237.8985813567785
2025,05,49624,1,0009,1,1,202502496241000912,1,2,2,1,2,,2,37,2,2,11,8,1987,1,,,,,,,,,,,,,,,,9112,5610,3,5,1,,1,15,0,10,10,10,0,0,0,30,,30,1,,2,,2,2,2,133,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,2,2,10,8,1,576,,,,,,,,,576,576,576,1,1362.0582491335251
2025,05,49624,1,0009,1,1,202502496241000913,1,3,3,1,2,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49624,1,0009,1,1,202502496241000914,1,4,3,1,2,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49391,1,0036,1,1,202505493911003611,1,1,1,1,2,,2,41,1,1,23,5,1983,1,,,,,,,,,,,,,,,,7511,9609,3,5,2,1,1,20,0,0,12,12,12,0,0,36,,36,1,,1,1,1,2,2,300,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,1,1299,,,,,,,,,1299,1299,1299,1,415.7448581599501
2025,05,49391,1,0036,1,1,202505493911003612,1,2,2,1,2,,1,50,2,2,11,3,1975,1,,,,,,,,,,,,,,,,7128,8411,3,2,,,5,9998,0,8,8,8,8,8,0,40,,40,1,,1,1,1,1,4,2000,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,5,1,,2,2,2,2,2,2,10,6,1,2000,,,,,,,,,2000,2000,2000,1,377.847254660344
2025,05,49391,1,0036,1,1,202505493911003613,1,3,3,1,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49391,1,0036,1,1,202505493911003614,1,4,3,1,2,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49391,1,0035,1,1,202402493911003511,1,1,1,1,2,,1,35,1,1,15,6,1989,1,,,,,,,,,,,,,,,,7111,4100,3,5,1,,1,20,0,8,8,8,8,8,8,48,,48,1,,1,1,1,2,2,650,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,1,2815,,,,,,,,,2815,2815,2815,1,414.1251508511874
2025,05,49391,1,0035,1,1,202402493911003512,1,2,2,1,2,,2,31,2,2,19,12,1993,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,1,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,415.7448581599501
2025,05,49391,1,0035,1,1,202402493911003513,1,3,3,1,2,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49391,1,0035,1,1,202402493911003514,1,4,3,1,2,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49391,1,0034,1,1,202402493911003411,1,1,1,1,2,,1,64,1,1,4,12,1960,1,,,,,,,,,,,,,,,,7212,2592,2,,3,2,1,1,0,0,0,4,4,0,0,8,,25,2,25,1,1,1,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,6,1,,,590,,,,,,,590,590,590,1,377.847254660344
2025,05,49391,1,0034,1,1,202402493911003412,1,2,2,1,2,,2,61,2,2,29,4,1964,1,,,,,,,,,,,,,,,,5212,4711,2,,3,2,1,1,0,10,10,0,10,10,10,50,,50,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,259,300,,,,,,559,559,559,1,346.6777264764067
2025,05,49391,1,0034,1,1,202402493911003413,1,3,3,1,2,,2,41,3,3,28,1,1984,1,,,,,,,,,,,,,,,,9535,4782,2,,3,2,1,1,6,6,6,6,6,6,6,42,,42,1,,1,1,1,1,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,854,,,,,,,854,854,854,1,415.7448581599501
2025,05,49391,1,0034,1,1,202402493911003414,1,4,5,1,2,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49391,1,0034,1,1,202402493911003415,1,5,6,1,2,,2,90,5,2,8,11,1934,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,2,,1,2,1,2,2,2,10,7,4,,,,,,,,,,,,,1,346.6777264764067
2025,05,49391,1,0032,1,1,202402493911003211,1,1,1,1,2,,2,34,1,1,30,11,1990,1,,,,,,,,,,,,,,,,8156,1520,3,5,1,,4,150,0,9,9,9,9,9,4,49,,49,1,,2,,2,1,3,400,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,800,,,,,,,,,800,800,800,1,415.7448581599501
2025,05,49391,1,0032,1,1,202402493911003212,1,2,2,1,2,,1,32,2,2,9,3,1993,1,,,,,,,,,,,,,,,,7355,3100,3,5,1,,5,1700,0,5,12,7,0,12,12,48,,48,1,,1,1,1,2,4,1400,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,1400,,,,,,,,393,1400,1400,1793,1,414.1251508511874
2025,05,49391,1,0032,1,1,202402493911003213,1,3,3,1,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49391,1,0032,1,1,202402493911003214,1,4,6,1,2,,1,73,4,4,18,11,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,4,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,377.847254660344
2025,05,49391,1,0032,1,1,202402493911003215,1,5,6,1,2,,2,55,5,5,6,9,1969,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,346.6777264764067
2025,05,49391,1,0032,1,1,202402493911003216,1,6,7,1,2,,2,26,6,6,14,2,1999,1,,,,,,,,,,,,,,,,8153,1410,3,5,1,,5,1000,0,12,12,12,12,12,0,60,,60,1,,1,1,1,2,2,350,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,5,4,,2,2,2,2,2,2,10,6,1,1516,,,,,,,,352,1516,1516,1868,1,415.7448581599501
2025,05,49391,1,0032,1,1,202402493911003217,1,7,8,1,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49391,1,0032,1,1,202402493911003218,1,8,8,1,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4804302,1,0030,1,1,20250248043021003011,1,1,1,1,2,,2,59,1,1,21,4,1966,1,,,,,,,,,,,,,,,,5120,5630,2,,3,2,1,1,5,5,5,5,5,5,5,35,,35,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,72,43,,,,,,115,115,115,1,681.9295748896018
2025,05,4804302,1,0030,1,1,20250248043021003012,1,2,3,1,2,,2,35,2,2,9,9,1989,1,,,,,,,,,,,,,,,,9211,123,3,5,1,,2,30,0,8,8,8,8,8,6,46,,46,1,,2,,2,2,2,240,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,1039,,,,,,,,,1039,1039,1039,1,817.7875090768107
2025,05,4804302,1,0030,1,1,20250248043021003013,1,3,5,1,2,,2,14,3,3,21,12,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,713.5913401515484
2025,05,4804302,1,0030,1,1,20250248043021003014,1,4,5,1,2,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4804302,1,0030,1,1,20250248043021003015,1,5,5,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4804302,1,0030,1,1,20250248043021003016,1,6,3,1,2,,1,29,6,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,
2025,05,4804302,1,0030,1,1,20250248043021003017,1,7,5,1,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4804302,1,0027,1,1,20250248043021002711,1,1,1,1,2,,1,49,1,1,21,3,1976,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,10,10,10,10,10,10,10,70,,70,1,,2,,2,1,,,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,1560,,,,,,,1560,1560,1560,1,743.2413393344062
2025,05,4804302,1,0027,1,1,20250248043021002712,1,2,2,1,2,,2,47,2,2,16,7,1977,1,,,,,,,,,,,,,,,,9112,8121,2,,3,2,1,1,0,8,8,0,0,8,6,30,,30,1,,2,,2,2,,,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,1,7,1,,,953,,,,,,,953,953,953,1,681.9295748896018
2025,05,4804302,1,0027,1,1,20250248043021002713,1,3,3,1,2,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4804302,1,0027,1,1,20250248043021002714,1,4,3,1,2,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4804302,1,0026,1,1,20250248043021002611,1,1,1,1,1,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2025,05,4804302,1,0026,1,1,20250248043021002612,1,2,2,1,2,,2,42,2,2,7,3,1983,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,817.7875090768107
2025,05,4804302,1,0026,1,1,20250248043021002613,1,3,3,1,2,,2,20,3,3,8,9,2004,1,,,,,,,,,,,,,,,,5131,5630,3,5,3,2,1,2,0,5,5,5,5,5,5,30,,30,1,,1,1,1,1,3,600,55,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1200,238,,,,,,,,1438,1438,1438,1,713.5913401515484
2025,05,4804302,1,0026,1,1,20250248043021002614,1,4,3,1,2,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4804302,1,0025,1,1,20250248043021002511,1,1,1,1,2,,2,47,1,1,24,12,1977,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,3,0,0,7,0,7,0,0,14,4,18,1,,1,1,1,1,2,130,40,,,160,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,5,3,,2,2,2,2,2,2,10,7,1,563,173,,,160,,,,,896,736,896,1,681.9295748896018
2025,05,4804302,1,0025,1,1,20250248043021002513,1,3,3,1,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4804302,1,0025,1,1,20250248043021002512,1,2,3,1,2,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4791801,1,0016,1,1,20240247918011001611,1,1,1,1,2,,1,42,1,1,27,2,1983,1,,,,,,,,,,,,,,,,9412,5610,3,5,2,2,1,6,10,0,10,10,10,10,10,60,,60,1,,1,2,2,2,2,300,11,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,,5,2,2,2,2,2,2,10,7,1,1299,330,,,,,,,,1629,1629,1629,1,1668.7321399127795
2025,05,4791801,1,0016,1,1,20240247918011001612,1,2,2,1,2,,2,41,2,2,3,1,1984,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,1675.2588085727937
