ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_amj25
2025,04,26524,1,0001,1,1,202501265241000112,1,2,2,1,2,,1,72,2,2,10,4,1953,1,,,,,,,,,,,,,,,,1142,5610,1,,1,,5,801,0,6,6,6,6,6,6,36,,36,1,,2,,2,2,,,,70000,,,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,6,5,,2,2,2,2,2,2,10,8,1,,,70000,,,,,,,70000,70000,70000,1,892.8000090265828
2025,06,29555,1,0015,1,1,202503295551001512,1,2,2,1,2,,2,60,2,2,5,1,1965,1,,,,,,,,,,,,,,,,1219,2100,3,5,1,,4,240,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,4,30000,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,30000,,,,,,,,10000,30000,30000,40000,1,859.3487849659746
2025,04,17938,1,0045,1,1,202401179381004511,1,1,1,1,2,,1,62,1,1,2,10,1962,1,,,,,,,,,,,,,,,,3314,7911,3,5,1,,4,400,0,8,8,8,0,0,0,24,11,65,2,65,2,,2,2,4,20000,300,,,6000,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,20000,25,,,6000,,,,7500,26025,20025,33525,1,464.75338785126064
2025,05,2653302,1,0051,1,1,20250526533021005112,1,2,2,1,2,,1,58,2,1,26,9,1966,1,,,,,,,,,,,,,,,,2142,4100,3,5,1,,3,100,0,10,10,10,10,10,5,55,,55,1,,1,1,1,2,4,20000,450,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,20000,450,,,,,,,5001,20450,20450,25451,1,953.1672787805126
2025,06,25382,1,0094,1,1,202506253821009412,1,2,2,1,2,,1,48,2,2,1,10,1976,1,,,,,,,,,,,,,,,,1221,4661,3,5,1,,4,400,0,8,8,8,8,8,0,40,,40,1,,1,1,1,2,4,20000,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,20000,,,,,,,,5439,20000,20000,25439,1,1099.4421170075666
2025,05,26722,2,0055,1,1,202505267222005512,1,2,2,1,2,,2,62,2,2,26,9,1962,1,,,,,,,,,,,,,,,,4110,4290,3,5,1,,5,1100,0,10,10,10,10,10,0,50,,50,1,,2,,2,2,4,20000,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,6,1,20000,,,,,,,,5001,20000,20000,25001,1,732.7988749610328
2025,06,26448,1,0211,1,1,202406264481021111,1,1,1,1,2,,1,73,1,1,6,7,1951,1,,,,,,,,,,,,,,,,1219,1709,3,5,1,,1,8,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,4,20000,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,20000,,,,,,,,2499,20000,20000,22499,1,1418.8805787978401
2025,04,2626601,1,0035,1,1,20240426266011003511,1,1,1,1,2,,2,57,1,1,30,8,1967,1,,,,,,,,,,,,,,,,4110,2100,3,5,1,,2,50,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,4,15000,50,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,15000,217,,,,,,,5250,15217,15217,20467,1,837.8403457614652
2025,06,29555,1,0016,1,1,202503295551001611,1,1,1,1,2,,1,67,1,1,27,8,1957,1,,,,,,,,,,,,,,,,3314,2220,1,,1,,4,141,0,12,11,13,12,11,12,71,,71,1,,2,,2,2,,,,20000,,,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,20000,,,,,,,20000,20000,20000,1,930.7238386467714
2025,06,26274,1,0135,1,1,202506262741013511,1,1,1,1,2,,1,36,1,1,24,6,1989,1,,,,,,,,,,,,,,,,2529,6202,2,,2,2,1,1,0,10,10,10,10,10,0,50,,50,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,2,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,1,7,1,,,19770,,,,,,,19770,19770,19770,1,1050.9106039886335
