ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_jas25
2025,07,46884,1,0097,1,1,202507468841009712,1,1,1,1,2,,2,42,1,1,3,1,1983,1,,,,,,,,,,,,,,,,5212,4752,2,,2,2,1,1,12,12,12,12,12,12,12,84,,84,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,1,,,836,100,,,,,,936,936,936,1,2129.6342864368776
2025,07,2450001,1,0071,1,1,20250724500011007111,,1,1,1,2,,1,38,1,2,4,9,1986,1,,,,,,,,,,,,,,,,8332,4923,3,5,2,2,1,5,0,9,9,9,9,9,8,53,,53,1,,2,,2,2,2,500,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,9,1,2165,,,,,,,,,2165,2165,2165,1,1112.908486919361
2025,07,2450001,1,0071,1,1,20250724500011007112,,2,2,1,2,,2,38,2,2,16,5,1987,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1092.238542271877
2025,07,2450001,1,0071,1,1,20250724500011007113,,3,3,1,2,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,07,2450001,1,0071,1,1,20250724500011007114,,4,3,1,2,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,07,2450001,1,0073,1,1,20250724500011007311,,1,1,1,2,,1,48,1,1,27,7,1976,1,,,,,,,,,,,,,,,,8322,8411,3,2,,,5,9998,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,4,1800,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1800,,,,,,,,,1800,1800,1800,1,1012.401014938013
2025,07,2450001,1,0074,1,1,20250724500011007411,,1,1,1,2,,1,61,1,1,5,3,1964,1,,,,,,,,,,,,,,,,3432,7310,3,5,1,,3,65,0,8,8,8,8,8,5,45,,45,1,,2,,2,2,4,2500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,2500,,,,,,,,624,2500,2500,3124,1,1012.401014938013
2025,07,2450001,1,0074,1,1,20250724500011007412,,2,2,1,2,,2,56,2,2,27,1,1969,1,,,,,,,,,,,,,,,,9211,113,3,5,3,2,1,5,0,6,6,6,6,6,6,36,,36,1,,2,,2,2,2,250,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1083,,,,,,,,,1083,1083,1083,1,914.9240413279923
2025,07,2450001,1,0074,1,1,20250724500011007413,,3,6,1,2,,2,87,3,1,16,7,1937,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,11,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,1,,,2,2,2,2,2,2,10,9,4,,,,,,,,,,,,,1,914.9240413279923
2025,07,2450001,1,0130,1,1,20250724500011013011,,1,1,1,2,,1,31,1,1,20,3,1994,1,,,,,,,,,,,,,,,,7352,1410,2,,2,2,1,1,0,8,8,8,8,8,8,48,,48,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,1793,,,,,,,1793,1793,1793,1,1112.908486919361
